"date","home_team","result","away_team","attendance","referee","place"
1991-03-16,"19.05.1997 15.00","Vejle BK","2-0","AaB","7.509","Finn Lambek"
1991-03-16,"19.05.1997 15.00","Viborg FF","0-4","AGF","5.302","Steen Pedersen"
1991-03-16,"19.05.1997 19.00","Brøndby IF","2-0","FC København","17.712","Kim Milton Nielsen"
1991-03-16,"23.05.1997 19.00","AaB","1-1","Brøndby IF","12.095","Knud Stadsgaard"
1991-03-16,"25.05.1997 15.00","AGF","2-2","Herfølge BK","10.330","Knud Erik Fisker"
1991-03-16,"25.05.1997 15.00","FC København","3-0","Silkeborg IF","6.728","Claus Bo Larsen"
1991-03-16,"25.05.1997 15.00","Hvidovre IF","0-1","Vejle BK","1.563","Jørgen Johansen"
1991-03-16,"25.05.1997 15.00","Lyngby FC","1-1","Viborg FF","1.311","Kim Milton Nielsen"
1991-03-16,"25.05.1997 15.00","OB","1-2","AB","3.065","Knud Stadsgaard"
1991-03-16,"29.05.1997 19.00","AB","0-1","FC København","6.119","Svend Erik Christensen"
1991-03-16,"29.05.1997 19.00","Brøndby IF","3-1","Hvidovre IF","11.492","Finn Lambek"
1991-03-16,"29.05.1997 19.00","Herfølge BK","1-0","Viborg FF","1.760","Peter Mikkelsen"
1991-03-16,"29.05.1997 19.00","OB","4-3","Lyngby FC","2.363","Anders H. Mosegaard"
1991-03-16,"29.05.1997 19.00","Silkeborg IF","1-1","AaB","3.918","Steen Pedersen"
1991-03-16,"29.05.1997 19.00","Vejle BK","1-1","AGF","12.786","Lars Gerner"
1991-03-16,"01.06.1997 15.00","AGF","2-3","Brøndby IF","18.472","Claus Bo Larsen"
1991-03-16,"01.06.1997 15.00","FC København","1-0","OB","8.065","Lars Gerner"
1991-03-16,"01.06.1997 15.00","Hvidovre IF","0-1","Silkeborg IF","1.357","Knud Stadsgaard"
1991-03-16,"01.06.1997 15.00","Lyngby FC","1-1","Herfølge BK","2.285","Svend Erik Christensen"
1991-03-16,"01.06.1997 15.00","Viborg FF","1-1","Vejle BK","2.708","Knud Erik Fisker"
1991-03-16,"01.06.1997 15.00","AaB","1-3","AB","5.760","Kim Milton Nielsen"
1991-03-16,"11.06.1997 19.00","AB","7-1","Hvidovre IF","2.118","Knud Erik Fisker"
1991-03-16,"11.06.1997 19.00","Brøndby IF","4-0","Viborg FF","15.011","Svend Erik Christensen"
1991-03-16,"11.06.1997 19.00","FC København","1-1","Lyngby FC","7.515","Peter Mikkelsen"
1991-03-16,"11.06.1997 19.00","OB","1-1","AaB","2.674","Jørgen Johansen"
1991-03-16,"11.06.1997 19.00","Silkeborg IF","4-3","AGF","8.036","Kim Milton Nielsen"
1991-03-16,"11.06.1997 19.00","Vejle BK","4-1","Herfølge BK","9.579","Claus Bo Larsen"
1991-03-16,"15.06.1997 15.00","AGF","2-1","AB","7.576","Finn Lambek"
1991-03-16,"15.06.1997 15.00","Herfølge BK","1-2","Brøndby IF","8.172","Lars Gerner"
1991-03-16,"15.06.1997 15.00","Hvidovre IF","4-3","OB","771","Kim Milton Nielsen"
1991-03-16,"15.06.1997 15.00","Lyngby FC","1-1","Vejle BK","2.723","Steen Pedersen"
1991-03-16,"15.06.1997 15.00","Viborg FF","0-2","Silkeborg IF","1.578","Knud Stadsgaard"
1991-03-16,"15.06.1997 15.00","AaB","0-1","FC København","4.850","Anders H. Mosegaard"
1991-03-16,"Aalborg Stadion","Aalborg Stadion","Aalborg Stadion","Aalborg Stadion","Aalborg Stadion","Aalborg Stadion"
1991-03-16,"Aarhus Fremad","2-1","AGF","15500","Claus Bo Larsen","Århus Stadion"
1991-03-16,"FC København","2-1","Vejle BK","6163","Lars Gerner","Parken"
1991-03-16,"Herfølge BK","0-2","Silkeborg IF","1189","Jørn West Larsen","Herfølge Stadion"
1991-03-16,"Ikast FS","0-4","AB","2250","Claus Bo Larsen","Ikast Stadion"
1991-03-16,"Lyngby FC","1-7","Brøndby IF","3806","Knud Erik Fisker","Lyngby Stadion"
1991-03-16,"OB","0-0","AaB","3357","Nicolai Vollquartz","Odense Atletikstadion"
1991-03-16,"AB","4-4","Lyngby FC","2321","Jan Hald","Gladsaxe Idrætspark"
1991-03-16,"AGF","5-2","OB","8000","Jørgen Johansen","Århus Stadion"
1991-03-16,"Brøndby IF","4-2","Aarhus Fremad","12793","Anders H. Mosegaard","Brøndby Stadion"
1991-03-16,"Silkeborg IF","1-1","FC København","4880","Finn Lambek","Silkeborg Stadion"
1991-03-16,"Vejle BK","2-0","Ikast FS","4040","Nicolai Vollquartz","Vejle Stadion"
1991-03-16,"AaB","2-3","Herfølge BK","5750","Kim Milton Nielsen","Aalborg Stadion"
1991-03-16,"FC København","4-3","AaB","7236","Steen Pedersen","Parken"
1991-03-16,"Herfølge BK","1-3","AGF","1684","Peter Mikkelsen","Herfølge Stadion"
1991-03-16,"OB","0-1","Brøndby IF","6035","Jan Hald","Odense Atletikstadion"
1991-03-16,"Silkeborg IF","2-1","Vejle BK","3611","Knud Erik Fisker","Silkeborg Stadion"
1991-03-16,"Lyngby FC","5-4","Ikast FS","1321","Lars Gerner","Lyngby Stadion"
1991-03-16,"Aarhus Fremad","2-3","AB","1958","Jørn West Larsen","Århus Stadion"
1991-03-16,"AB","2-1","OB","1720","Finn Lambek","Gladsaxe Idrætspark"
1991-03-16,"AGF","1-3","FC København","8650","Knud Erik Fisker","Århus Stadion"
1991-03-16,"Brøndby IF","5-1","Herfølge BK","7456","Claus Bo Larsen","Brøndby Stadion"
1991-03-16,"Ikast FS","2-1","Aarhus Fremad","1510","Jørn West Larsen","Ikast Stadion"
1991-03-16,"Vejle BK","1-0","Lyngby FC","2248","Jørgen Johansen","Vejle Stadion"
1991-03-16,"AaB","2-2","Silkeborg IF","5540","Anders H. Mosegaard","Aalborg Stadion"
1991-03-16,"FC København","4-1","Brøndby IF","31197","Peter Mikkelsen","Parken"
1991-03-16,"Silkeborg IF","2-0","AGF","5448","Claus Bo Larsen","Silkeborg Stadion"
1991-03-16,"AaB","3-0","Vejle BK","5175","Lars Gerner","Aalborg Stadion"
1991-03-16,"Herfølge BK","0-0","AB","1865","Steen Pedersen","Herfølge Stadion"
1991-03-16,"OB","1-2","Ikast FS","2940","Knud Erik Fisker","Odense Atletikstadion"
1991-03-16,"Aarhus Fremad","2-3","Lyngby FC","1275","Finn Lambek","Århus Stadion"
1991-03-16,"AGF","0-1","AaB","5950","Jørn West Larsen","Århus Stadion"
1991-03-16,"AB","1-1","FC København","9304","Anders H. Mosegaard","Gladsaxe Idrætspark"
1991-03-16,"Brøndby IF","1-2","Silkeborg IF","10833","Jørgen Johansen","Brøndby Stadion"
1991-03-16,"Ikast FS","4-1","Herfølge BK","1913","Jan Hald","Ikast Stadion"
1991-03-16,"Lyngby FC","1-0","OB","1935","Steen Pedersen","Lyngby Stadion"
1991-03-16,"Vejle BK","4-2","Aarhus Fremad","2500","Kim Milton Nielsen","Vejle Stadion"
1991-03-16,"AGF","1-2","Vejle BK","6319","Anders H. Mosegaard","Århus Stadion"
1991-03-16,"FC København","3-1","Ikast FS","7341","Nicolai Vollquartz","Parken"
1991-03-16,"OB","1-1","Aarhus Fremad","5575","Lars Gerner","Odense Atletikstadion"
1991-03-16,"Silkeborg IF","1-0","AB","4853","Knud Stadsgaard","Silkeborg Stadion"
1991-03-16,"AaB","3-0","Brøndby IF","12964","Jan Hald","Aalborg Stadion"
1991-03-16,"Herfølge BK","2-4","Lyngby FC","1202","Claus Bo Larsen","Herfølge Stadion"
1991-03-16,"Brøndby IF","2-0","AGF","8501","Knud Stadsgaard","Brøndby Stadion"
1991-03-16,"AB","2-0","AaB","2219","Peter Mikkelsen","Gladsaxe Idrætspark"
1991-03-16,"Ikast FS","2-2","Silkeborg IF","5057","Finn Lambek","Ikast Stadion"
1991-03-16,"Lyngby FC","0-4","FC København","7073","Kim Milton Nielsen","Lyngby Stadion"
1991-03-16,"Vejle BK","2-0","OB","3626","Jan Hald","Vejle Stadion"
1991-03-16,"Aarhus Fremad","1-2","Herfølge BK","1100","Knud Erik Fisker","Århus Stadion"
1991-03-16,"Silkeborg IF","0-0","Lyngby FC","3957","Anders H. Mosegaard","Silkeborg Stadion"
1991-03-16,"AGF","1-1","AB","4775","Lars Gerner","Århus Stadion"
1991-03-16,"Brøndby IF","1-2","Vejle BK","9019","Jørn West Larsen","Brøndby Stadion"
1991-03-16,"FC København","1-1","Aarhus Fremad","7612","Nicolai Vollquartz","Parken"
1991-03-16,"Herfølge BK","4-1","OB","1324","Jørgen Johansen","Herfølge Stadion"
1991-03-16,"AaB","2-2","Ikast FS","6825","Claus Bo Larsen","Aalborg Stadion"
1991-03-16,"AB","1-1","Brøndby IF","5192","Steen Pedersen","Gladsaxe Idrætspark"
1991-03-16,"Ikast FS","1-3","AGF","3679","Kim Milton Nielsen","Ikast Stadion"
1991-03-16,"OB","2-3","FC København","10422","Knud Erik Fisker","Odense Stadion"
1991-03-16,"Lyngby FC","4-1","AaB","1804","Finn Lambek","Lyngby Stadion"
1991-03-16,"Vejle BK","3-0","Herfølge BK","3445","Peter Mikkelsen","Vejle Stadion"
1991-03-16,"Aarhus Fremad","1-3","Silkeborg IF","2062","Knud Stadsgaard","Århus Stadion"
1991-03-16,"Vejle BK","1-4","AB","3684","Nicolai Vollquartz","Vejle Stadion"
1991-03-16,"AGF","1-1","Lyngby FC","5720","Claus Bo Larsen","Århus Stadion"
1991-03-16,"Brøndby IF","5-0","Ikast FS","8302","Lars Gerner","Brøndby Stadion"
1991-03-16,"Herfølge BK","2-2","FC København","3673","Jan Hald","Herfølge Stadion"
1991-03-16,"Silkeborg IF","1-1","OB","4812","Jørn West Larsen","Silkeborg Stadion"
1991-03-16,"AaB","1-0","Aarhus Fremad","5715","Steen Pedersen","Aalborg Stadion"
1991-03-16,"AGF","0-3","Brøndby IF","13200","Peter Mikkelsen","Århus Stadion"
1991-03-16,"FC København","1-1","Silkeborg IF","13301","Kim Milton Nielsen","Parken"
1991-03-16,"Herfølge BK","1-2","AaB","1312","Knud Erik Fisker","Herfølge Stadion"
1991-03-16,"Ikast FS","1-3","Vejle BK","2940","Jørgen Johansen","Ikast Stadion"
1991-03-16,"Lyngby FC","1-1","AB","2206","Knud Stadsgaard","Lyngby Stadion"
1991-03-16,"OB","1-3","Aarhus Fremad","5782","Finn Lambek","Odense Stadion"
1991-03-16,"Aarhus Fremad","1-2","AGF","5301","Lars Gerner","Århus Stadion"
1991-03-16,"AB","1-2","Ikast FS","1460","Jørn West Larsen","Gladsaxe Idrætspark"
1991-03-16,"Brøndby IF","2-1","Lyngby FC","11771","Kim Milton Nielsen","Brøndby Stadion"
1991-03-16,"Silkeborg IF","2-0","Herfølge BK","3455","Nicolai Vollquartz","Silkeborg Stadion"
1991-03-16,"Vejle BK","1-0","FC København","8038","Claus Bo Larsen","Vejle Stadion"
1991-03-16,"AaB","1-1","OB","7725","Anders H. Mosegaard","Aalborg Stadion"
1991-03-16,"Ikast FS","2-4","Brøndby IF","5113","Finn Lambek","Ikast Stadion"
1991-03-16,"AB","3-2","Vejle BK","1582","Peter Mikkelsen","Gladsaxe Idrætspark"
1991-03-16,"AGF","4-1","AaB","5603","Knud Stadsgaard","Århus Stadion"
1991-03-16,"FC København","3-1","Herfølge BK","7243","Jørn West Larsen","Parken"
1991-03-16,"Lyngby FC","0-2","Aarhus Fremad","939","Jan Hald","Lyngby Stadion"
1991-03-16,"OB","1-3","Silkeborg IF","5927","Steen Pedersen","Odense Stadion"
1991-03-16,"Silkeborg IF","0-2","AGF","7270","Claus Bo Larsen","Silkeborg Stadion"
1991-03-16,"Brøndby IF","2-1","AB","13764","Knud Erik Fisker","Brøndby Stadion"
1991-03-16,"FC København","0-2","OB","8355","Lars Gerner","Parken"
1991-03-16,"Herfølge BK","3-1","Vejle BK","1533","Kim Milton Nielsen","Herfølge Stadion"
1991-03-16,"AaB","5-0","Lyngby FC","5515","Jørgen Johansen","Aalborg Stadion"
1991-03-16,"Aarhus Fremad","5-3","Ikast FS","1228","Nicolai Vollquartz","Århus Stadion"
1991-03-16,"Vejle BK","1-4","Brøndby IF","8236","Anders H. Mosegaard","Vejle Stadion"
1991-03-16,"AB","6-1","Aarhus Fremad","1184","Steen Pedersen","Gladsaxe Idrætspark"
1991-03-16,"AGF","2-2","FC København","6672","Kim Milton Nielsen","Århus Stadion"
1991-03-16,"Ikast FS","0-2","AaB","2368","Lars Gerner","Ikast Stadion"
1991-03-16,"Lyngby FC","4-1","Silkeborg IF","1012","Knud Erik Fisker","Lyngby Stadion"
1991-03-16,"OB","3-3","Herfølge BK","7049","Peter Mikkelsen","Odense Stadion"
1991-03-16,"FC København","3-2","Lyngby FC","6305","Knud Stadsgaard","Parken"
1991-03-16,"Herfølge BK","2-2","AGF","2173","Jørgen Johansen","Herfølge Stadion"
1991-03-16,"OB","2-1","Vejle BK","7531","Finn Lambek","Odense Stadion"
1991-03-16,"Silkeborg IF","3-2","Ikast FS","5103","Jan Hald","Silkeborg Stadion"
1991-03-16,"AaB","6-1","AB","6526","Claus Bo Larsen","Aalborg Stadion"
1991-03-16,"Aarhus Fremad","1-3","Brøndby IF","3900","Jørn West Larsen","Århus Stadion"
1991-03-16,"AB","1-2","Silkeborg IF","2113","Lars Gerner","Gladsaxe Idrætspark"
1991-03-16,"AGF","1-1","OB","6361","Knud Erik Fisker","Århus Stadion"
1991-03-16,"Brøndby IF","1-0","AaB","17129","Knud Stadsgaard","Brøndby Stadion"
1991-03-16,"Ikast FS","1-2","FC København","2181","Peter Mikkelsen","Ikast Stadion"
1991-03-16,"Lyngby FC","1-1","Herfølge BK","1388","Nicolai Vollquartz","Lyngby Stadion"
1991-03-16,"Vejle BK","3-3","Aarhus Fremad","2381","Kim Milton Nielsen","Vejle Stadion"
1991-03-16,"Silkeborg IF","1-2","Brøndby IF","7184","Knud Erik Fisker","Silkeborg Stadion"
1991-03-16,"AGF","0-0","Vejle BK","8556","Knud Stadsgaard","Århus Stadion"
1991-03-16,"FC København","2-1","AB","14520","Anders H. Mosegaard","Parken"
1991-03-16,"Herfølge BK","2-1","Ikast FS","1459","Claus Bo Larsen","Herfølge Stadion"
1991-03-16,"AaB","3-1","Aarhus Fremad","8723","Finn Lambek","Aalborg Stadion"
1991-03-16,"OB","0-1","Lyngby FC","6301","Nicolai Vollquartz","Odense Stadion"
1991-03-16,"Brøndby IF","2-0","FC København","17612","Kim Milton Nielsen","Brøndby Stadion"
1991-03-16,"AB","2-1","Herfølge BK","3307","Nicolai Vollquartz","Gladsaxe Idrætspark"
1991-03-16,"Ikast FS","1-4","OB","2250","Jørn West Larsen","Ikast Stadion"
1991-03-16,"Lyngby FC","3-0","AGF","1794","Jan Hald","Lyngby Stadion"
1991-03-16,"Vejle BK","1-1","AaB","5484","Steen Pedersen","Vejle Stadion"
1991-03-16,"Aarhus Fremad","0-1","Silkeborg IF","2649","Lars Gerner","Århus Stadion"
1991-03-16,"OB","3-0","AB","6193","Knud Stadsgaard","Odense Stadion"
1991-03-16,"AGF","3-1","Ikast FS","5608","Finn Lambek","Århus Stadion"
1991-03-16,"FC København","3-1","Aarhus Fremad","7845","Claus Bo Larsen","Parken"
1991-03-16,"Herfølge BK","1-2","Brøndby IF","6091","Jørgen Johansen","Herfølge Stadion"
1991-03-16,"Lyngby FC","0-2","Vejle BK","1865","Knud Erik Fisker","Lyngby Stadion"
1991-03-16,"Silkeborg IF","4-0","AaB","4694","Peter Mikkelsen","Silkeborg Stadion"
1991-03-16,"Brøndby IF","3-2","OB","12649","Anders H. Mosegaard","Brøndby Stadion"
1991-03-16,"Ikast FS","1-1","Lyngby FC","1126","Kim Milton Nielsen","Ikast Stadion"
1991-03-16,"Vejle BK","1-1","Silkeborg IF","5101","Jan Hald","Vejle Stadion"
1991-03-16,"AaB","0-1","FC København","7453","Jørn West Larsen","Aalborg Stadion"
1991-03-16,"AB","4-4","AGF","1795","Lars Gerner","Gladsaxe Idrætspark"
1991-03-16,"Aarhus Fremad","1-1","Herfølge BK","1240","Steen Pedersen","Århus Stadion"
1991-03-16,"AB","2-0","Lyngby FC","2732","Claus Bo Larsen","Gladsaxe Idrætspark"
1991-03-16,"Brøndby IF","1-1","AGF","11296","Lars Gerner","Brøndby Stadion"
1991-03-16,"Silkeborg IF","1-1","FC København","6535","Jørgen Johansen","Silkeborg Stadion"
1991-03-16,"Vejle BK","4-0","Ikast FS","3032","Nicolai Vollquartz","Vejle Stadion"
1991-03-16,"AaB","2-3","Herfølge BK","4885","Knud Stadsgaard","Aalborg Stadion"
1991-03-16,"Aarhus Fremad","2-0","OB","1263","Knud Erik Fisker","Århus Stadion"
1991-03-16,"AGF","1-1","Aarhus Fremad","10921","Jørn West Larsen","Århus Stadion"
1991-03-16,"FC København","4-1","Vejle BK","11697","Finn Lambek","Parken"
1991-03-16,"Herfølge BK","0-4","Silkeborg IF","1890","Anders H. Mosegaard","Herfølge Stadion"
1991-03-16,"Ikast FS","1-1","AB","1310","Jan Hald","Ikast Stadion"
1991-03-16,"Lyngby FC","0-2","Brøndby IF","8176","Nicolai Vollquartz","Lyngby Stadion"
1991-03-16,"OB","0-1","AaB","6336","Lars Gerner","Odense Stadion"
1991-03-16,"Herfølge BK","1-0","FC København","3470","Lars Gerner","Herfølge Stadion"
1991-03-16,"Brøndby IF","3-1","Ikast FS","10495","Steen Pedersen","Brøndby Stadion"
1991-03-16,"Silkeborg IF","1-1","OB","5399","Kim Milton Nielsen","Silkeborg Stadion"
1991-03-16,"Vejle BK","1-0","AB","3597","Peter Mikkelsen","Vejle Stadion"
1991-03-16,"AaB","2-4","AGF","8076","Knud Erik Fisker","Aalborg Stadion"
1991-03-16,"Aarhus Fremad","0-3","Lyngby FC","1000","Knud Stadsgaard","Århus Stadion"
1991-03-16,"AB","3-1","Brøndby IF","4942","Finn Lambek","Gladsaxe Idrætspark"
1991-03-16,"AGF","2-2","Silkeborg IF","7708","Claus Bo Larsen","Århus Stadion"
1991-03-16,"Ikast FS","1-2","Aarhus Fremad","1762","Peter Mikkelsen","Ikast Stadion"
1991-03-16,"Lyngby FC","2-1","AaB","2033","Jørgen Johansen","Lyngby Stadion"
1991-03-16,"OB","1-2","FC København","6504","Nicolai Vollquartz","Odense Stadion"
1991-03-16,"Vejle BK","4-2","Herfølge BK","2878","Jørn West Larsen","Vejle Stadion"
1991-03-16,"Brøndby IF","5-0","Vejle BK","10139","Knud Stadsgaard","Brøndby Stadion"
1991-03-16,"FC København","2-1","AGF","10003","Kim Milton Nielsen","Parken"
1991-03-16,"Herfølge BK","1-0","OB","1867","Peter Mikkelsen","Herfølge Stadion"
1991-03-16,"Silkeborg IF","3-0","Lyngby FC","3936","Jørn West Larsen","Silkeborg Stadion"
1991-03-16,"AaB","1-1","Ikast FS","4619","Claus Bo Larsen","Aalborg Stadion"
1991-03-16,"Aarhus Fremad","1-0","AB","1540","Steen Pedersen","Århus Stadion"
1991-03-16,"Vejle BK","3-0","OB","5828","Jørgen Johansen","Vejle Stadion"
1991-03-16,"AB","4-2","AaB","1872","Jan Hald","Gladsaxe Idrætspark"
1991-03-16,"AGF","2-0","Herfølge BK","6276","Knud Stadsgaard","Århus Stadion"
1991-03-16,"Brøndby IF","7-1","Aarhus Fremad","10495","Lars Gerner","Brøndby Stadion"
1991-03-16,"Ikast FS","2-1","Silkeborg IF","2226","Knud Erik Fisker","Ikast Stadion"
1991-03-16,"Lyngby FC","2-1","FC København","6015","Anders H. Mosegaard","Lyngby Stadion"
1991-03-16,"FC København","3-1","Ikast FS","5723","Knud Stadsgaard","Parken"
1991-03-16,"Herfølge BK","2-1","Lyngby FC","1620","Steen Pedersen","Herfølge Stadion"
1991-03-16,"OB","1-2","AGF","5041","Peter Mikkelsen","Odense Stadion"
1991-03-16,"Silkeborg IF","1-0","AB","3377","Nicolai Vollquartz","Silkeborg Stadion"
1991-03-16,"AaB","0-1","Brøndby IF","11993","Anders H. Mosegaard","Aalborg Stadion"
1991-03-16,"Aarhus Fremad","4-0","Vejle BK","2809","Knud Erik Fisker","Århus Stadion"
1991-03-16,"AB","2-1","FC København","4790","Jørn West Larsen","Gladsaxe Idrætspark"
1991-03-16,"Brøndby IF","0-0","Silkeborg IF","14298","Peter Mikkelsen","Brøndby Stadion"
1991-03-16,"Ikast FS","4-3","Herfølge BK","953","Jørgen Johansen","Ikast Stadion"
1991-03-16,"Lyngby FC","4-0","OB","2022","Knud Erik Fisker","Lyngby Stadion"
1991-03-16,"Aarhus Fremad","1-1","AaB","2595","Nicolai Vollquartz","Århus Stadion"
1991-03-16,"Vejle BK","1-0","AGF","6299","Claus Bo Larsen","Vejle Stadion"
1991-03-16,"AGF","0-1","Lyngby FC","4389","Anders H. Mosegaard","Århus Stadion"
1991-03-16,"FC København","1-4","Brøndby IF","33124","Knud Erik Fisker","Parken"
1991-03-16,"Herfølge BK","0-3","AB","1528","Claus Bo Larsen","Herfølge Stadion"
1991-03-16,"OB","5-0","Ikast FS","1814","Kim Milton Nielsen","Odense Stadion"
1991-03-16,"Silkeborg IF","3-1","Aarhus Fremad","3820","Jan Hald","Silkeborg Stadion"
1991-03-16,"AaB","1-0","Vejle BK","5036","Knud Stadsgaard","Aalborg Stadion"
1991-03-16,"AB","1-3","OB","2410","Steen Pedersen","Gladsaxe Idrætspark"
1991-03-16,"Brøndby IF","0-0","Herfølge BK","8409","Jan Hald","Brøndby Stadion"
1991-03-16,"Ikast FS","3-1","AGF","1054","Jørn West Larsen","Ikast Stadion"
1991-03-16,"Vejle BK","3-0","Lyngby FC","3975","Kim Milton Nielsen","Vejle Stadion"
1991-03-16,"AaB","0-0","Silkeborg IF","4847","Jørgen Johansen","Aalborg Stadion"
1991-03-16,"Aarhus Fremad","2-6","FC København","3050","Peter Mikkelsen","Århus Stadion"
1991-03-16,"AGF","3-2","AB","4009","Kim Milton Nielsen","Århus Stadion"
1991-03-16,"FC København","0-4","AaB","9185","Steen Pedersen                               
                              / 
                              Jørgen Johansen","Parken"
1991-03-16,"Herfølge BK","0-2","Aarhus Fremad","1526","Jørn West Larsen","Herfølge Stadion"
1991-03-16,"Lyngby FC","3-4","Ikast FS","1758","Nicolai Vollquartz","Lyngby Stadion"
1991-03-16,"OB","0-1","Brøndby IF","13059","Anders H. Mosegaard","Odense Stadion"
1991-03-16,"Silkeborg IF","2-1","Vejle BK","6542","Lars Gerner","Silkeborg Stadion"
1991-03-16,"B 93","1-5","Brøndby IF","5660","Claus Bo Larsen","Østerbro Stadion"
1991-03-16,"Lyngby FC","0-0","Silkeborg IF","1619","Steen Pedersen","Lyngby Stadion"
1991-03-16,"Vejle BK","1-3","FC København","5621","Anders H. Mosegaard","Vejle Stadion"
1991-03-16,"Viborg FF","0-3","Herfølge BK","1576","Kim Milton Nielsen","Viborg Stadion"
1991-03-16,"AaB","4-0","AGF","8750","Lars Gerner","Aalborg Stadion"
1991-03-16,"Aarhus Fremad","1-4","AB","2084","Jørn West Larsen","Riisvangen Stadion"
1991-03-16,"AB","1-1","AaB","2887","Knud Stadsgaard","Gladsaxe Idrætspark"
1991-03-16,"AGF","1-0","Lyngby FC","4229","Nicolai Vollquartz","Århus Stadion"
1991-03-16,"FC København","3-2","Viborg FF","6911","Jørn West Larsen","Parken"
1991-03-16,"Herfølge BK","3-1","B 93","1504","Knud Erik Fisker","Herfølge Stadion"
1991-03-16,"Silkeborg IF","1-0","Vejle BK","4294","Lars Gerner","Silkeborg Stadion"
1991-03-16,"Brøndby IF","2-0","Aarhus Fremad","8951","Jørgen Johansen","Brøndby Stadion"
1991-03-16,"Vejle BK","3-0","AGF","4280","Finn Lambek","Vejle Stadion"
1991-03-16,"Viborg FF","2-1","Silkeborg IF","2508","Jørgen Johansen","Viborg Stadion"
1991-03-16,"AaB","1-0","Brøndby IF","12494","Peter Mikkelsen","Aalborg Stadion"
1991-03-16,"FC København","0-3","Herfølge BK","9464","Steen Pedersen","Parken"
1991-03-16,"Lyngby FC","0-3","AB","2631","Anders H. Mosegaard","Lyngby Stadion"
1991-03-16,"Aarhus Fremad","2-0","B 93","1238","Jan Hald","Århus Stadion"
1991-03-16,"AB","0-1","Vejle BK","2682","Claus Bo Larsen","Gladsaxe Idrætspark"
1991-03-16,"AGF","3-2","Viborg FF","4196","Knud Stadsgaard","Århus Stadion"
1991-03-16,"B 93","1-5","AaB","1226","Nicolai Vollquartz","Østerbro Stadion"
1991-03-16,"Brøndby IF","2-3","Lyngby FC","9176","Kim Milton Nielsen","Brøndby Stadion"
1991-03-16,"Herfølge BK","3-1","Aarhus Fremad","2436","Peter Mikkelsen","Herfølge Stadion"
1991-03-16,"Silkeborg IF","3-3","FC København","4803","Knud Erik Fisker","Silkeborg Stadion"
1991-03-16,"Brøndby IF","3-0","Silkeborg IF","7093","Knud Stadsgaard","Brøndby Stadion"
1991-03-16,"AaB","5-2","Vejle BK","10422","Steen Pedersen","Aalborg Stadion"
